customer_id,loyalty_tier,primary_store_id,created_at
CUST_0001,Gold,STR_003,2026-07-31 16:35:48
CUST_0002,Gold,STR_006,2026-07-31 16:35:48
CUST_0003,Silver,STR_010,2026-07-31 16:35:48
CUST_0004,Silver,STR_003,2026-07-31 16:35:48
CUST_0005,Silver,STR_003,2026-07-31 16:35:48
CUST_0006,Gold,STR_008,2026-07-31 16:35:48
CUST_0007,Silver,STR_003,2026-07-31 16:35:48
CUST_0008,Silver,STR_001,2026-07-31 16:35:48
CUST_0009,Gold,STR_008,2026-07-31 16:35:48
CUST_0010,Silver,STR_004,2026-07-31 16:35:48
CUST_0011,Gold,STR_010,2026-07-31 16:35:48
CUST_0012,Gold,STR_008,2026-07-31 16:35:48
CUST_0013,Gold,STR_003,2026-07-31 16:35:48
CUST_0014,Member,STR_007,2026-07-31 16:35:48
CUST_0015,Member,STR_007,2026-07-31 16:35:48
CUST_0016,Silver,STR_007,2026-07-31 16:35:48
CUST_0017,Silver,STR_007,2026-07-31 16:35:48
CUST_0018,Gold,STR_001,2026-07-31 16:35:48
CUST_0019,Member,STR_004,2026-07-31 16:35:48
CUST_0020,Member,STR_006,2026-07-31 16:35:48
CUST_0021,Gold,STR_006,2026-07-31 16:35:48
CUST_0022,Member,STR_004,2026-07-31 16:35:48
CUST_0023,Gold,STR_001,2026-07-31 16:35:48
CUST_0024,Member,STR_004,2026-07-31 16:35:48
CUST_0025,Gold,STR_006,2026-07-31 16:35:48
CUST_0026,Silver,STR_003,2026-07-31 16:35:48
CUST_0027,Gold,STR_007,2026-07-31 16:35:48
CUST_0028,Member,STR_010,2026-07-31 16:35:48
CUST_0029,Silver,STR_003,2026-07-31 16:35:48
CUST_0030,Gold,STR_001,2026-07-31 16:35:48
CUST_0031,Silver,STR_005,2026-07-31 16:35:48
CUST_0032,Silver,STR_009,2026-07-31 16:35:48
CUST_0033,Member,STR_009,2026-07-31 16:35:48
CUST_0034,Silver,STR_007,2026-07-31 16:35:48
CUST_0035,Member,STR_003,2026-07-31 16:35:48
CUST_0036,Silver,STR_008,2026-07-31 16:35:48
CUST_0037,Silver,STR_004,2026-07-31 16:35:48
CUST_0038,Gold,STR_007,2026-07-31 16:35:48
CUST_0039,Gold,STR_004,2026-07-31 16:35:48
CUST_0040,Gold,STR_003,2026-07-31 16:35:48
CUST_0041,Gold,STR_001,2026-07-31 16:35:48
CUST_0042,Member,STR_009,2026-07-31 16:35:48
CUST_0043,Gold,STR_002,2026-07-31 16:35:48
CUST_0044,Silver,STR_001,2026-07-31 16:35:48
CUST_0045,Silver,STR_005,2026-07-31 16:35:48
CUST_0046,Member,STR_010,2026-07-31 16:35:48
CUST_0047,Gold,STR_010,2026-07-31 16:35:48
CUST_0048,Gold,STR_002,2026-07-31 16:35:48
CUST_0049,Member,STR_001,2026-07-31 16:35:48
CUST_0050,Gold,STR_002,2026-07-31 16:35:48
CUST_0051,Silver,STR_008,2026-07-31 16:35:48
CUST_0052,Silver,STR_002,2026-07-31 16:35:48
